Course Number	Course Name	Students Name	Student ID	Email	Address
CS 4513	Introduction to Numerical Analysis	Laci Small, Abbie	A918476	alsmall@okstate.edu	43 Santa Clara RoadOklahoma City, OK 73109
CS 3363	Organization of Programming Languages	Long, Nicklaus	A541154	nlong@okstate.edu	7830 Penn Ave.Oklahoma City, OK 73118
CS 2433	C/C++ Programming	Nelson, Tyrique	A528038	tnelson@okstate.edu	121 Beech Ave.Oklahoma City, OK 73115
CS 4153	Mobile Applications Development	Ross, Kasandra	A726928	kross@okstate.edu	7597 W. Shub Farm Dr.Oklahoma City, OK 73135
CS 4883	Social Issues in Computing	Theodore Aguirre, Keandre	A273032	ktaguirre@okstate.edu	4 Hanover LaneLuther, OK 73054
CS 4373	Agile Software Development	Rosas, Dante	A386088	drosas@okstate.edu	9531B Lilac StreetJones, OK 73049
CS 2433	C/C++ Programming	Charlie Franks, Tatiyana	A629645	tcfranks@okstate.edu	838 Ridgewood RoadOklahoma City, OK 73149
CS 4283	Computer Networks	Arsenault, Guadalupe	A870964	garsenault@okstate.edu	9510 Mill DriveOklahoma City, OK 73111
CS 3353	Data Structures and Algorithm Analysis I	Freddie Sorensen, Bret	A426294	bfsorensen@okstate.edu	23 Leatherwood StreetOklahoma City, OK 73134
CS 4373	Agile Software Development	Shamya Carey, Akira	A538447	ascarey@okstate.edu	993 Gartner DriveLuther, OK 73054
CS 4743	Extended Reality	Lara, Halee	A866608	hlara@okstate.edu	9083 Summit Dr.Edmond, OK 73025
CS 3030	Industrial Practice in Computer Science	Brynne Brinson, Mireya	A880841	mbbrinson@okstate.edu	7815 Corona Ave.Oklahoma City, OK 73150
CS 4283	Computer Networks	Dietrich, Autumn	A360065	adietrich@okstate.edu	7906 Sugar DriveOklahoma City, OK 73104
CS 3570	Special Problems in Computer Science	Anjali Apodaca, Lillie	A376327	laapodaca@okstate.edu	192 Delaware DriveOklahoma City, OK 73103
CS 4273	Software Engineering	Ng, Janine	A480666	jng@okstate.edu	8408 Sherman Rd.Oklahoma City, OK 73139
CS 4783	Machine Learning	Olivarez, Abdul	A253216	aolivarez@okstate.edu	822 Mayfield St.Oklahoma City, OK 73149
CS 4523	Cloud Computing and Distributed Systems	Ahmed Rudd, Tyree	A274655	tarudd@okstate.edu	124 Mammoth CircleOklahoma City, OK 73122
CS 4323	Design and Implementation of Operating Systems I	Marquez Parrish, Jerrod	A751098	jmparrish@okstate.edu	637 West Pearl Ave.Edmond, OK 73013
CS 4183	Video Game Design	Heil, Kellen	A552592	kheil@okstate.edu	715 E. Albany Ave.Choctaw, OK 73020
CS 4783	Machine Learning	Jordy Shaffer, Rashad	A618038	rjshaffer@okstate.edu	8860 Clay Ave.Oklahoma City, OK 73151
CS 4883	Social Issues in Computing	Biddle, Ashton	A128187	abiddle@okstate.edu	12 Schoolhouse St.Oklahoma City, OK 73120
CS 4153	Mobile Applications Development	Wetzel, Leighton	A137270	lwetzel@okstate.edu	5 Shirley LaneOklahoma City, OK 73135
CS 4373	Agile Software Development	Sherman Bourgeois, Britton	A693762	bsbourgeois@okstate.edu	201 W. Pawnee Ave.Oklahoma City, OK 73141
CS 3030	Industrial Practice in Computer Science	Fidel Bean, Draven	A340524	dfbean@okstate.edu	8324 Valley DriveOklahoma City, OK 73128
CS 4783	Machine Learning	Johns, Devin	A905109	djohns@okstate.edu	3 Helen StreetOklahoma City, OK 73107
CS 3030	Industrial Practice in Computer Science	Rider, Kalista	A187791	krider@okstate.edu	10 Rock Maple Dr.Arcadia, OK 73007
CS 4743	Extended Reality	Briggs, Cayla	A716031	cbriggs@okstate.edu	954 Brook StreetOklahoma City, OK 73115
CS 3030	Industrial Practice in Computer Science	Colt Connor, Jaylin	A163685	jcconnor@okstate.edu	8276 3rd St.Oklahoma City, OK 73179
CS 4143	Computer Graphics	Delaney Cyr, Stefany	A187847	sdcyr@okstate.edu	9851 Bridle StreetOklahoma City, OK 73116
CS 2433	C/C++ Programming	Lam, Francisco	A905132	flam@okstate.edu	24 Alton DriveOklahoma City, OK 73114
CS 4523	Cloud Computing and Distributed Systems	Cassidy Brunner, Ashlynn	A764271	acbrunner@okstate.edu	515 Dogwood StreetOklahoma City, OK 73118
CS 4993	Senior Honors Project	Javen Sotelo, Deion	A451867	djsotelo@okstate.edu	1 E. Deerfield St.Oklahoma City, OK 73117
CS 4143	Computer Graphics	Denney, Aditya	A456831	adenney@okstate.edu	329 Lake View Ave.Bethany, OK 73008
MATH 2163	Calculus III	Munson, Carly	A953217	cmunson@okstate.edu	8080 Holly Ave.Oklahoma City, OK 73130
CS 4513	Introduction to Numerical Analysis	Beatty, Brianne	A878895	bbeatty@okstate.edu	323 Arrowhead StreetEdmond, OK 73012
CS 4623	Introduction to Cyber Physical Systems	Ventura, Ivanna	A421723	iventura@okstate.edu	9311 Oklahoma Ave.Oklahoma City, OK 73121
MATH 3013	Linear Algebra (A)	Meagan Urban, Elsie	A371098	emurban@okstate.edu	76 E. Linda StreetOklahoma City, OK 73142
CS 3513	Numerical Methods for Digital Computers	Madisyn Goforth, Yasmeen	A974317	ymgoforth@okstate.edu	27 Elm St.Edmond, OK 73034
CS 4143	Computer Graphics	Mcafee, Bailey	A618280	bmcafee@okstate.edu	8489 Cooper St.Oklahoma City, OK 73106
CS 3570	Special Problems in Computer Science	Zuniga, Addison	A475561	azuniga@okstate.edu	8266 Rockwell St.Oklahoma City, OK 73169
CS 3653	Discrete Mathematics for Computer Science	Leila Ellington, Yaquelin	A248344	ylellington@okstate.edu	9966 Durham CourtOklahoma City, OK 73108
MATH 3013	Linear Algebra (A)	Tania Steed, Haley	A271059	htsteed@okstate.edu	43 Pearl St.Oklahoma City, OK 73105
CS 4993	Senior Honors Project	Antoinette Westfall, Aiyanna	A162170	aawestfall@okstate.edu	718 Branch Rd.Harrah, OK 73045
CS 4983	Senior Capstone Project	Tony Thorne, Rohan	A608460	rtthorne@okstate.edu	7643 Spring LaneOklahoma City, OK 73159
CS 4243	Introduction to Computer Security	Juana Najera, Cassie	A143114	cjnajera@okstate.edu	8248 Market St.Oklahoma City, OK 73119
CS 4993	Senior Honors Project	Noriega, Leona	A448061	lnoriega@okstate.edu	9809 N. Hill Field Dr.Oklahoma City, OK 73109
CS 4623	Introduction to Cyber Physical Systems	Baumann, Dwayne	A108168	dbaumann@okstate.edu	9413 Winchester DriveOklahoma City, OK 73162
CS 3353	Data Structures and Algorithm Analysis I	Kayden Do, Chauncey	A168530	ckdo@okstate.edu	818 East Beach DriveOklahoma City, OK 73127
CS 4273	Software Engineering	Pierre McCord, Reese	A552673	rpmccord@okstate.edu	9206 Arcadia CourtOklahoma City, OK 73145
CS 4793	Artificial Intelligence I	Capps, Sarai	A902818	scapps@okstate.edu	17 Maiden Ave.Spencer, OK 73084
CS 4173	Video Game Development	Jeniffer Michel, Alessandra	A302787	ajmichel@okstate.edu	7403 Mulberry Rd.Oklahoma City, OK 73173
CS 3653	Discrete Mathematics for Computer Science	Gallant, Miles	A189511	mgallant@okstate.edu	477 N. Trusel DriveOklahoma City, OK 73131
CS 4283	Computer Networks	Alejandra Pina, Cristal	A810103	capina@okstate.edu	55 William St.Jones, OK 73049
CS 4183	Video Game Design	Krystal Leach, Dorothy	A698506	dkleach@okstate.edu	95 Bowman St.Oklahoma City, OK 73129
CS 3613	Theoretical Foundations of Computing	Kolton Gall, Johnpaul	A926999	jkgall@okstate.edu	75 Highland Dr.Oklahoma City, OK 73110
CS 4993	Senior Honors Project	Benton, Bridget	A610924	bbenton@okstate.edu	651 Ann LaneEdmond, OK 73003
CS 4793	Artificial Intelligence I	Royce Bauer, Branden	A308789	brbauer@okstate.edu	609 North Tarkiln Hill DriveOklahoma City, OK 73102
CS 4993	Senior Honors Project	Bentley, Freddie	A266258	fbentley@okstate.edu	9173 Rockaway St.Oklahoma City, OK 73112
CS 4523	Cloud Computing and Distributed Systems	Godinez, Cayden	A328811	cgodinez@okstate.edu	170 East Alderwood St.Oklahoma City, OK 73132
CS 4883	Social Issues in Computing	Lizette Clough, Joslyn	A884602	jlclough@okstate.edu	7930 North Wood RoadSpencer, OK 73084
CS 4793	Artificial Intelligence I	Coker, Elias	A168640	ecoker@okstate.edu	7 Ashley St.Oklahoma City, OK 73119
CS 4283	Computer Networks	Mohammed, Dejuan	A374645	dmohammed@okstate.edu	939 Leatherwood St.Luther, OK 73054
CS 4523	Cloud Computing and Distributed Systems	Ramon Pressley, Shlomo	A886186	srpressley@okstate.edu	86 Gregory St.Oklahoma City, OK 73159
CS 4743	Extended Reality	Louie Gupta, Justin	A791343	jlgupta@okstate.edu	53 Tarkiln Hill Ave.Oklahoma City, OK 73102
CS 3513	Numerical Methods for Digital Computers	Aguilera, Cameron	A422268	caguilera@okstate.edu	7116 Piper Ave.Oklahoma City, OK 73151
CS 4153	Mobile Applications Development	Lemay, Khalid	A586601	klemay@okstate.edu	37 Church Ave.Oklahoma City, OK 73118
CS 4143	Computer Graphics	Cuevas, Ilana	A339383	icuevas@okstate.edu	6 Temple Ave.Oklahoma City, OK 73179
CS 3030	Industrial Practice in Computer Science	Haggerty, Jaden	A446706	jhaggerty@okstate.edu	9904 Myrtle Dr.Choctaw, OK 73020
CS 4983	Senior Capstone Project	Fabian Dodson, Jericho	A577794	jfdodson@okstate.edu	916 N. Roberts LaneOklahoma City, OK 73104
CS 4173	Video Game Development	Brock Addison, Howard	A570569	hbaddison@okstate.edu	860 Ramblewood Dr.Oklahoma City, OK 73149
CS 4243	Introduction to Computer Security	Bates, Kurtis	A899964	kbates@okstate.edu	474 Walnutwood St.Oklahoma City, OK 73107
CS 4433	Introduction to Database Systems	Rosenberg, Santino	A555201	srosenberg@okstate.edu	97 Madison Rd.Oklahoma City, OK 73116
CS 4433	Introduction to Database Systems	Adrianne James, Tonya	A682182	tajames@okstate.edu	7381 Miles LaneArcadia, OK 73007
CS 4283	Computer Networks	Jelani Blanton, Coleman	A535321	cjblanton@okstate.edu	756 Squaw Creek LaneOklahoma City, OK 73112
CS 3570	Special Problems in Computer Science	Casteel, Selah	A250798	scasteel@okstate.edu	849 Fairview StreetJones, OK 73049
CS 4183	Video Game Design	Cruse, Itzel	A290499	icruse@okstate.edu	9963 Jockey Hollow St.Oklahoma City, OK 73106
CS 3653	Discrete Mathematics for Computer Science	Logan Handley, Chance	A326732	clhandley@okstate.edu	61 New CourtOklahoma City, OK 73122
CS 3570	Special Problems in Computer Science	Hoppe, Ulises	A726596	uhoppe@okstate.edu	7813 East West Ave.Edmond, OK 73003
CS 4983	Senior Capstone Project	Elena Matos, Ashlie	A627184	aematos@okstate.edu	886 Walnut St.Oklahoma City, OK 73162
CS 4570	Special Topics in Computing	Jacquelin Gill, Joanna	A651696	jjgill@okstate.edu	517 W. Delaware DriveOklahoma City, OK 73109
CS 4273	Software Engineering	Shifflett, Diana	A950348	dshifflett@okstate.edu	600 Lower River St.Harrah, OK 73045
CS 4743	Extended Reality	Justus Fish, Clifford	A431892	cjfish@okstate.edu	9608 Hickory LaneOklahoma City, OK 73103
CS 4993	Senior Honors Project	French, Zachary	A729266	zfrench@okstate.edu	143 Laurel Dr.Oklahoma City, OK 73145
CS 4153	Mobile Applications Development	Doyle, Erykah	A670878	edoyle@okstate.edu	8521 Snake Hill RoadOklahoma City, OK 73130
CS 3353	Data Structures and Algorithm Analysis I	Loren Epstein, Randy	A611302	rlepstein@okstate.edu	95 High Rd.Oklahoma City, OK 73121
CS 4983	Senior Capstone Project	Blackburn, Miracle	A600974	mblackburn@okstate.edu	7 Rockland St.Oklahoma City, OK 73105
CS 4570	Special Topics in Computing	Garay, Rachael	A401312	rgaray@okstate.edu	9 Mill DriveOklahoma City, OK 73139
CS 3030	Industrial Practice in Computer Science	Rick Gerber, Vance	A361353	vrgerber@okstate.edu	48 Galvin Dr.Oklahoma City, OK 73127
CS 3513	Numerical Methods for Digital Computers	Chandler, Donte	A247286	dchandler@okstate.edu	481 W. Bay Meadows St.Oklahoma City, OK 73150
CS 4793	Artificial Intelligence I	Jaret Dennis, Sean	A926401	sjdennis@okstate.edu	9072 Buttonwood Ave.Edmond, OK 73013
CS 4570	Special Topics in Computing	Black, Rodrigo	A922063	rblack@okstate.edu	801 Sunnyslope Ave.Oklahoma City, OK 73132
CS 4433	Introduction to Database Systems	Asha Mahon, Iyana	A982632	iamahon@okstate.edu	893 North 3rd RoadBethany, OK 73008
CS 4793	Artificial Intelligence I	Wahl, Jonah	A320210	jwahl@okstate.edu	7965 Primrose DriveOklahoma City, OK 73169
CS 2433	C/C++ Programming	Whelan, Breanna	A396239	bwhelan@okstate.edu	62 Santa Clara St.Oklahoma City, OK 73173
MATH 3013	Linear Algebra (A)	Augustine Carlos, Jesus	A296524	jacarlos@okstate.edu	445 Somerset LaneOklahoma City, OK 73114
CS 4983	Senior Capstone Project	Brinson, Esperanza	A111461	ebrinson@okstate.edu	36 Lower River Ave.Edmond, OK 73012
CS 3363	Organization of Programming Languages	Peacock, Ashlynn	A264829	apeacock@okstate.edu	81 Strawberry StreetEdmond, OK 73025
CS 3443	Computer Systems	Ariel Kirk, Kristian	A733338	kakirk@okstate.edu	357 Smith Store Ave.Oklahoma City, OK 73134
CS 4513	Introduction to Numerical Analysis	Beal, Dara	A258548	dbeal@okstate.edu	5 Theatre StreetOklahoma City, OK 73135
MATH 2163	Calculus III	Jovanni Breedlove, Kobe	A332657	kjbreedlove@okstate.edu	9577 Hamilton StreetOklahoma City, OK 73110
MATH 2163	Calculus III	Tamera Shaffer, Tristan	A777978	ttshaffer@okstate.edu	7343 St Paul St.Oklahoma City, OK 73117
CS 4513	Introduction to Numerical Analysis	Fries, Jordyn	A667243	jfries@okstate.edu	7733 Beaver Ridge LaneOklahoma City, OK 73129
CS 4743	Extended Reality	Makayla McMahan, Anika	A630365	ammcmahan@okstate.edu	7089 South Buttonwood St.Oklahoma City, OK 73128
CS 2433	C/C++ Programming	Dupree, Chase	A898241	cdupree@okstate.edu	369 Green Lake StreetOklahoma City, OK 73111
CS 4793	Artificial Intelligence I	Derrick Combs, Efrain	A696876	edcombs@okstate.edu	15 Trout St.Edmond, OK 73034
CS 4433	Introduction to Database Systems	Prieto, Christion	A417777	cprieto@okstate.edu	171 W. Poor House Ave.Oklahoma City, OK 73115
CS 4373	Agile Software Development	Gutierrez, Rohan	A862985	rgutierrez@okstate.edu	50 Rockaway Ave.Oklahoma City, OK 73131
CS 4523	Cloud Computing and Distributed Systems	Kameryn Mcvey, Sabrina	A145409	skmcvey@okstate.edu	4 Union Ave.Oklahoma City, OK 73142
